                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     75,                0.66974,                0.44592,                0.98187,                0.24583,                0.24811,                0.24852,                0.19051,                0.25727,                0.38771,                 0.3269,              0.0005546,              0.0005546,              0.0005546
                     76,                0.60823,                0.46041,                0.97275,                0.24595,                0.24811,                 0.2486,                0.18363,                0.26718,                0.40182,                0.32349,              0.0005348,              0.0005348,              0.0005348
                     77,                 0.5758,                0.40911,                0.97383,                0.23854,                0.24242,                0.23725,                0.14924,                0.25291,                0.45653,                0.32426,               0.000515,               0.000515,               0.000515
                     78,                0.58796,                 0.4403,                 0.9648,                0.24248,                0.24427,                 0.2413,                0.17173,                 0.2547,                0.40602,                0.32231,              0.0004952,              0.0004952,              0.0004952
                     79,                0.57468,                0.39106,                0.97214,                0.24426,                0.24432,                 0.2461,                0.18767,                 0.2462,                0.36252,                0.31961,              0.0004754,              0.0004754,              0.0004754
                     80,                0.63077,                0.47622,                0.97567,                0.23439,                0.23485,                0.22668,                0.11699,                0.26298,                0.52616,                0.32429,              0.0004556,              0.0004556,              0.0004556
                     81,                0.57836,                0.38072,                0.98723,                 0.2311,                0.23295,                0.22337,                0.10959,                0.25495,                0.52435,                0.32155,              0.0004358,              0.0004358,              0.0004358
                     82,                0.56465,                0.40737,                0.94576,                0.23849,                0.24053,                0.23751,                0.15433,                0.25152,                0.40441,                0.32273,               0.000416,               0.000416,               0.000416
                     83,                0.55284,                0.38452,                0.94477,                0.24428,                0.24621,                0.24568,                0.18269,                0.25993,                0.36502,                 0.3226,              0.0003962,              0.0003962,              0.0003962
                     84,                0.59816,                0.41842,                0.97357,                0.24605,                0.24811,                0.24866,                0.19216,                0.28059,                0.37134,                0.33141,              0.0003764,              0.0003764,              0.0003764
                     85,                0.62463,                0.43934,                0.98642,                0.24426,                0.24621,                0.24592,                0.19132,                0.25005,                0.33821,                0.32277,              0.0003566,              0.0003566,              0.0003566
                     86,                0.60249,                0.40641,                0.97051,                0.24606,                0.24811,                0.24854,                0.19037,                0.24614,                0.33567,                0.31966,              0.0003368,              0.0003368,              0.0003368
                     87,                0.54067,                0.38201,                0.95055,                0.24431,                0.24621,                0.24688,                0.18838,                0.23986,                 0.3305,                0.31695,               0.000317,               0.000317,               0.000317
                     88,                0.54836,                0.40288,                0.94116,                0.24238,                0.24432,                0.24292,                0.16337,                0.24193,                0.35693,                0.31622,              0.0002972,              0.0002972,              0.0002972
                     89,                 0.5687,                0.39008,                0.95124,                0.23857,                0.24053,                0.23975,                 0.1641,                0.23374,                0.35017,                0.31457,              0.0002774,              0.0002774,              0.0002774
                     90,                0.55042,                0.38249,                0.95183,                0.24048,                0.24242,                0.24171,                0.16925,                0.24409,                0.34863,                0.31358,              0.0002576,              0.0002576,              0.0002576
